time,open,high,low,close,vol,%,id,timestamp,"Vol (20)","Vol (20)","MACD","MACD","MACD","MACD"
1080829800,113.07001,115.41,110.89999,110.96001,969151488,-1.89,135,2004-04-01 14:30:00,969151488,889373612.35,2.945434104247626,1,1.563428434940775,-1.3820056693068512
1083591000,111.37,113.25999,108.06,112.86,984820576,1.71,136,2004-05-03 13:30:00,984820576,887883234.75,2.6502129633231006,1,1.9307605348470247,-0.7194524284760759
1086096600,112.46001,114.94,111.87,114.53,726798816,1.48,137,2004-06-01 13:30:00,726798816,856907699.55,2.4393801378033926,1,2.3297727437781646,-0.10960739402522779
1088688600,114.25,114.39999,108.21001,110.84,956346304,-3.22,138,2004-07-01 13:30:00,956346304,863764490.75,1.9448699597719572,1,2.321480055689719,0.3766100959177616
1091453400,110.19,113.61,106.59,111.11,924459360,0.24,139,2004-08-02 13:30:00,924459360,873537139.15,1.5467645502743554,1,2.310065783760706,0.7633012334863505
1094045400,110.94,113.74001,110.41,111.75999,792619408,0.58,140,2004-09-01 13:30:00,792619408,867208408.75,1.2506778102125922,1,2.3266484962520906,1.0759706860394984
1096637400,112.25999,114.67999,109.35001,113.2,1046489408,1.29,141,2004-10-01 13:30:00,1046489408,876359794.35,1.0816224349509855,1,2.4279987297282304,1.3463762947772449
1099319400,113.56,119.14,113.2,117.89,964579904,4.14,142,2004-11-01 14:30:00,964579904,866686301.55,1.205991553173384,0,2.853865736243975,1.647874183070591
1101911400,118.16,121.66,117.73,120.87,911529680,2.53,143,2004-12-01 14:30:00,911529680,862327511.95,1.395876920822133,0,3.3927203340982572,1.9968434132761241
1104762600,121.56,121.75999,116.37,118.16,1191128848,-2.24,144,2005-01-03 14:30:00,1191128848,877648433.55,1.250568506625871,1,3.560054046558463,2.309485539932592
1107268200,118.25,121.67,118.10001,120.63,1029653952,2.09,145,2005-02-01 14:30:00,1029653952,885553249.55,1.2305096309196668,1,3.8476225785821754,2.6171129476625086
1109687400,120.78,123.25,116.25,117.96001,1342371888,-2.21,146,2005-03-01 14:30:00,1342371888,906619258.35,0.9591795246609625,1,3.8160873534887116,2.856907828827749
1112365800,118.63,119.25999,113.55,115.75,1668289744,-1.87,147,2005-04-01 14:30:00,1668289744,951159679.2,0.5717497363905251,1,3.5715949993159057,2.9998452629253807
1115040600,116.07001,120.25,114.8,119.48,1346291376,3.22,148,2005-05-02 13:30:00,1346291376,977405968,0.5096350543094865,1,3.6368890808122387,3.127254026502752
1117632600,119.52,121.94,118.75,119.17999,1106029664,-0.25,149,2005-06-01 13:30:00,1106029664,991014160,0.39633034792222066,1,3.6226669614055282,3.2263366134833076
1120224600,119.45,124.64,118.25999,123.74001,1186572224,3.83,150,2005-07-01 13:30:00,1186572224,1018775901.15,0.5661327896027992,0,3.9340026004868065,3.3678698108840073
1122903000,123.83,124.74001,120.38,122.58,1314950080,-0.94,151,2005-08-01 13:30:00,1314950080,1050561990.4,0.538150699705962,1,4.04055818551646,3.502407485810498
1125581400,122.50999,124.74001,120.44,123.03999,1286806880,0.38,152,2005-09-01 13:30:00,1286806880,1077575192.8,0.4898260256134077,1,4.114690017827257,3.6248639922138497
1128346200,122.96001,123.34,116.88,120.13,1793909760,-2.37,153,2005-10-03 13:30:00,1793909760,1133458285.6,0.21510360981073706,1,3.8937435044772712,3.678639894666534
1130855400,120.58,127.41,120.13,125.41,1185290624,4.4,154,2005-11-01 14:30:00,1185290624,1136404499.2,0.33505664240322863,0,4.09746069767057,3.7624040552673415
1133447400,126.02,128.57001,124.36,124.50999,1073662416,-0.72,155,2005-12-01 14:30:00,1073662416,1141630045.6,0.3009390013014448,1,4.138577806894148,3.837638805592703
1136212200,125.10001,129.44,124.39,127.5,1231803008,2.4,156,2006-01-02 14:30:00,1231803008,1153979167.2,0.4196074376426515,0,4.362148102646017,3.942540665003366
1138804200,127.82001,130.03999,123.64,128.23,1145400544,0.57,157,2006-02-01 14:30:00,1145400544,1174909253.6,0.48263350321081866,0,4.545832544016889,4.0631990408060705
1141223400,128.60001,131.47,127.17999,129.83,1353312576,1.25,158,2006-03-01 14:30:00,1353312576,1194757567.2,0.5619014263884292,0,4.7655758237916075,4.203674397403178
1144071000,130.07001,131.86,128.02,131.47,1300735968,1.26,159,2006-04-03 13:30:00,1300735968,1213571397.6,0.6484660952825481,0,5.014257016506363,4.365790921223815
1146490200,131.47,132.8,124.75999,127.50999,1752940720,-3.01,160,2006-05-01 13:30:00,1752940720,1261587463.2,0.37620881908764314,1,4.836051945083369,4.459843125995726
1149168600,127.38,129.42999,122.34,127.23,2165461536,-0.22,161,2006-06-01 13:30:00,2165461536,1317536069.6,0.1273138987535214,1,4.618985499437628,4.491671600684106
1151933400,127.42999,128.14,122.39,127.85001,1694694704,0.49,162,2006-07-03 13:30:00,1694694704,1354041809.6,-0.036744743220156195,3,4.4457406716589105,4.482485414879067
1154439000,127.34,131.03999,126.28,130.64,1421706336,2.18,163,2006-08-01 13:30:00,1421706336,1379550642.4,-0.00046262152948362,2,4.481907137967212,4.482369759496696
1157117400,131.14,133.99001,129.35001,133.58,1363903440,2.25,164,2006-09-01 13:30:00,1363903440,1388189372,0.16906158296540852,0,4.693696738203457,4.524635155238048
1159795800,133.53999,139,132.34,137.78999,1447946224,3.15,165,2006-10-02 13:30:00,1447946224,1409103985.6,0.4938750740353468,0,5.141978997782232,4.648103923746885
1162391400,138.22,141.16,135.62,140.53,1503703824,1.99,166,2006-11-01 14:30:00,1503703824,1417170582.4,0.8040572908933106,0,5.6531755373635235,4.849118246470213
1164983400,140.53,143.24001,138.97,141.62,1213057024,0.78,167,2006-12-01 14:30:00,1213057024,1394408946.4,0.9816762514847817,0,6.07621356082619,5.094537309341408
1167661800,142.25,144.13,140.25,143.75,1341399312,1.5,168,2007-01-01 14:30:00,1341399312,1394164343.2,1.1310289834304141,0,6.508323538629426,5.377294555199012
1170340200,144.14999,146.42,139,140.92999,1496040016,-1.96,169,2007-02-01 14:30:00,1496040016,1413664860.8,0.9363597559554275,1,6.547744250143296,5.6113844941878686
1172759400,139.34,143.81,136.75,142,2921814320,0.76,170,2007-03-01 14:30:00,2921814320,1500426965.6,0.7823869470224434,1,6.589368177965923,5.80698123094348
1175520600,142.16,149.8,140.89,148.28999,1795352592,4.43,171,2007-04-02 13:30:00,1795352592,1524447091.2,0.9933370845452814,0,7.0486525866250815,6.0553155020798
1178026200,148.42,153.89,147.67,153.32001,2518567104,3.39,172,2007-05-01 13:30:00,2518567104,1586035102.4,1.339283142359335,0,7.729419430028969,6.390136287669634
1180704600,153.88,154.39999,148.06,150.42999,3504277296,-1.88,173,2007-06-01 13:30:00,3504277296,1671553479.2,1.2432160163739585,1,7.944156308137082,6.700940291763123
1183383000,150.87,156,145.03999,145.72,3986976272,-3.13,174,2007-07-02 13:30:00,3986976272,1811637761.6,0.7561598130927631,1,7.6461400581290775,6.889980245036314
1185975000,145.17999,150.59,137,147.59,6241314848,1.28,175,2007-08-01 13:30:00,6241314848,2070020383.2,0.4677676704520639,1,7.474689833101394,7.00692216264933
1188826200,147.45,154.39,144.33,152.58,2966242944,3.38,176,2007-09-03 13:30:00,2966242944,2156742380,0.5170572788915155,0,7.653243761263724,7.136186482372208
1191245400,152.60001,157.52,148,154.64999,3849026960,1.36,177,2007-10-01 13:30:00,3849026960,2291923700.8,0.5878887295510156,0,7.8710473943109776,7.283158664759962
1193923800,153.28999,153.41,140.66,148.66,5472105872,-3.87,178,2007-11-01 13:30:00,5472105872,2497863365.6,0.15280007654281835,1,7.474158760438485,7.321358683895666
1196692200,148.19,152.89,143.96001,146.21001,3293357632,-1.65,179,2007-12-03 14:30:00,3293357632,2597494448.8,-0.35101516237074204,3,6.882589730932239,7.233604893302981
1199197800,146.53,146.99001,126,137.37,6108104832,-6.05,180,2008-01-01 14:30:00,6108104832,2815252654.4,-1.2784921801255216,3,5.635489668146079,6.9139818482716
1201876200,137.94,139.61,131.73,133.82001,4151825440,-2.58,181,2008-02-01 14:30:00,4151825440,2914570849.6,-2.0823816550719894,3,4.311004779431613,6.3933864345036024
1204554600,133.14,135.81,126.07001,131.97,5469219488,-1.38,182,2008-03-03 14:30:00,5469219488,3103297088.8,-2.653432716682566,3,3.0765955386503947,5.730028255332961
1207056600,133.71001,140.59,132.33,138.25999,4014862304,4.77,183,2008-04-01 13:30:00,4014862304,3232954887.2,-2.5230862380057433,2,2.576170457825782,5.099256695831525
1209648600,138.39,144.3,137.52,140.35001,3650158528,1.51,184,2008-05-01 13:30:00,3650158528,3347267641.6,-2.2222319968047577,2,2.321466699825578,4.543698696630336
1212413400,139.83,140.89,127.035,127.98,5410561968,-8.81,185,2008-06-02 13:30:00,5410561968,3545398428.8,-2.7480184869010307,3,1.108675588004047,3.8566940749050778
